id,category,role,audience,format,lens,context,prompt
1238,财务,财务分析师,新手用户,短视频脚本,风险,初创团队,任务编号 P1238。请扮演财务分析师。围绕“财务场景038-初创团队”中的预算、定价、现金流任务，面向新手用户，生成会议讨论提纲。请用短视频脚本输出，并从“风险”角度做重点判断。要求：按难易度排序；先给结论再解释；最后给出3条可立即执行的下一步。
1239,财务,财务分析师,一线执行团队,Markdown大纲,增长,需要扩张,任务编号 P1239。请扮演财务分析师。围绕“财务场景039-需要扩张”中的预算、定价、现金流任务，面向一线执行团队，写一份面向管理层的简报。请用Markdown大纲输出，并从“增长”角度做重点判断。要求：避免虚构事实；给出示例输入输出；最后给出3条可立即执行的下一步。
1240,财务,财务分析师,开发团队,JSON结构,短期落地,新市场验证,任务编号 P1240。请扮演财务分析师。围绕“财务场景040-新市场验证”中的预算、定价、现金流任务，面向开发团队，写一份面向执行者的操作手册。请用JSON结构输出，并从“短期落地”角度做重点判断。要求：避免专业黑话；给出至少一个反例；最后给出3条可立即执行的下一步。
1241,财务,财务分析师,客服团队,复盘报告,成本,竞品压力,任务编号 P1241。请扮演财务分析师。围绕“财务场景041-竞品压力”中的预算、定价、现金流任务，面向客服团队，建立评估打分表。请用复盘报告输出，并从“成本”角度做重点判断。要求：包含衡量标准；保持中立客观；最后给出3条可立即执行的下一步。
1242,财务,财务分析师,家长,短视频脚本,可维护性,准备上线,任务编号 P1242。请扮演财务分析师。围绕“财务场景042-准备上线”中的预算、定价、现金流任务，面向家长，提出自动化改造思路。请用短视频脚本输出，并从“可维护性”角度做重点判断。要求：提供简短版本和完整版本；适合在一天内开始执行；最后给出3条可立即执行的下一步。
1243,财务,财务分析师,非技术读者,Markdown大纲,长期价值,高不确定性,任务编号 P1243。请扮演财务分析师。围绕“财务场景043-高不确定性”中的预算、定价、现金流任务，面向非技术读者，设计用户调研问题。请用Markdown大纲输出，并从“长期价值”角度做重点判断。要求：适合在一天内开始执行；必要时提出澄清问题；最后给出3条可立即执行的下一步。
1244,财务,财务分析师,中小企业主,JSON结构,质量,远程协作,任务编号 P1244。请扮演财务分析师。围绕“财务场景044-远程协作”中的预算、定价、现金流任务，面向中小企业主，模拟用户反馈并归纳模式。请用JSON结构输出，并从“质量”角度做重点判断。要求：给出示例输入输出；输出可直接复制使用；最后给出3条可立即执行的下一步。
1245,财务,财务分析师,资深从业者,复盘报告,用户体验,个人项目,任务编号 P1245。请扮演财务分析师。围绕“财务场景045-个人项目”中的预算、定价、现金流任务，面向资深从业者，生成故障排查路径。请用复盘报告输出，并从“用户体验”角度做重点判断。要求：语言简洁，不说空话；提供简短版本和完整版本；最后给出3条可立即执行的下一步。
1246,财务,财务分析师,自由职业者,短视频脚本,学习曲线,质量波动,任务编号 P1246。请扮演财务分析师。围绕“财务场景046-质量波动”中的预算、定价、现金流任务，面向自由职业者，把目标拆成里程碑。请用短视频脚本输出，并从“学习曲线”角度做重点判断。要求：兼顾成本和效果；按影响力排序；最后给出3条可立即执行的下一步。
1247,财务,财务分析师,设计团队,Markdown大纲,效率,用户流失,任务编号 P1247。请扮演财务分析师。围绕“财务场景047-用户流失”中的预算、定价、现金流任务，面向设计团队，提出可复用命名规范。请用Markdown大纲输出，并从“效率”角度做重点判断。要求：指出最容易忽略的细节；包含可执行下一步；最后给出3条可立即执行的下一步。
1248,财务,财务分析师,投资人,JSON结构,风险,内部培训,任务编号 P1248。请扮演财务分析师。围绕“财务场景048-内部培训”中的预算、定价、现金流任务，面向投资人，创建风险登记册。请用JSON结构输出，并从“风险”角度做重点判断。要求：包含可执行下一步；包含衡量标准；最后给出3条可立即执行的下一步。
1249,财务,财务分析师,海外用户,复盘报告,增长,需要复盘,任务编号 P1249。请扮演财务分析师。围绕“财务场景049-需要复盘”中的预算、定价、现金流任务，面向海外用户，制定一份可执行方案。请用复盘报告输出，并从“增长”角度做重点判断。要求：输出可直接复制使用；标注假设和不确定性；最后给出3条可立即执行的下一步。
1250,财务,财务分析师,专家评审,短视频脚本,短期落地,时间紧迫,任务编号 P1250。请扮演财务分析师。围绕“财务场景050-时间紧迫”中的预算、定价、现金流任务，面向专家评审，列出关键问题并给出优先级。请用短视频脚本输出，并从“短期落地”角度做重点判断。要求：保持中立客观；指出最容易忽略的细节；最后给出3条可立即执行的下一步。
1251,财务,财务分析师,大学生,Markdown大纲,成本,成熟企业,任务编号 P1251。请扮演财务分析师。围绕“财务场景051-成熟企业”中的预算、定价、现金流任务，面向大学生，生成三种风格完全不同的版本。请用Markdown大纲输出，并从“成本”角度做重点判断。要求：先给结论再解释；避免专业黑话；最后给出3条可立即执行的下一步。
1252,财务,财务分析师,管理层,JSON结构,可维护性,需要降本,任务编号 P1252。请扮演财务分析师。围绕“财务场景052-需要降本”中的预算、定价、现金流任务，面向管理层，把复杂内容改写成新手也能懂的说明。请用JSON结构输出，并从“可维护性”角度做重点判断。要求：包含失败预案；用中文输出；最后给出3条可立即执行的下一步。
1253,财务,财务分析师,内容创作者,复盘报告,长期价值,流程混乱,任务编号 P1253。请扮演财务分析师。围绕“财务场景053-流程混乱”中的预算、定价、现金流任务，面向内容创作者，设计一个从零到一的工作流。请用复盘报告输出，并从“长期价值”角度做重点判断。要求：用中文输出；兼顾成本和效果；最后给出3条可立即执行的下一步。
1254,财务,财务分析师,销售团队,短视频脚本,质量,数据不足,任务编号 P1254。请扮演财务分析师。围绕“财务场景054-数据不足”中的预算、定价、现金流任务，面向销售团队，创建检查清单并标注常见坑。请用短视频脚本输出，并从“质量”角度做重点判断。要求：标注假设和不确定性；避免虚构事实；最后给出3条可立即执行的下一步。
1255,财务,财务分析师,教师,Markdown大纲,用户体验,公开发布,任务编号 P1255。请扮演财务分析师。围绕“财务场景055-公开发布”中的预算、定价、现金流任务，面向教师，模拟专家评审并指出改进点。请用Markdown大纲输出，并从“用户体验”角度做重点判断。要求：按影响力排序；包含失败预案；最后给出3条可立即执行的下一步。
1256,财务,财务分析师,本地用户,JSON结构,学习曲线,多方协作,任务编号 P1256。请扮演财务分析师。围绕“财务场景056-多方协作”中的预算、定价、现金流任务，面向本地用户，根据目标用户重写表达。请用JSON结构输出，并从“学习曲线”角度做重点判断。要求：必要时提出澄清问题；语言简洁，不说空话；最后给出3条可立即执行的下一步。
1257,财务,财务分析师,创始人,复盘报告,效率,预算有限,任务编号 P1257。请扮演财务分析师。围绕“财务场景057-预算有限”中的预算、定价、现金流任务，面向创始人，提炼核心洞察并给出行动建议。请用复盘报告输出，并从“效率”角度做重点判断。要求：给出至少一个反例；按难易度排序；最后给出3条可立即执行的下一步。
1258,财务,财务分析师,新手用户,短视频脚本,风险,初创团队,任务编号 P1258。请扮演财务分析师。围绕“财务场景058-初创团队”中的预算、定价、现金流任务，面向新手用户，设计一套可量化指标。请用短视频脚本输出，并从“风险”角度做重点判断。要求：按难易度排序；先给结论再解释；最后给出3条可立即执行的下一步。
1259,财务,财务分析师,一线执行团队,Markdown大纲,增长,需要扩张,任务编号 P1259。请扮演财务分析师。围绕“财务场景059-需要扩张”中的预算、定价、现金流任务，面向一线执行团队，把零散想法整理成结构化大纲。请用Markdown大纲输出，并从“增长”角度做重点判断。要求：避免虚构事实；给出示例输入输出；最后给出3条可立即执行的下一步。
1260,财务,财务分析师,开发团队,JSON结构,短期落地,新市场验证,任务编号 P1260。请扮演财务分析师。围绕“财务场景060-新市场验证”中的预算、定价、现金流任务，面向开发团队，生成可直接使用的模板。请用JSON结构输出，并从“短期落地”角度做重点判断。要求：避免专业黑话；给出至少一个反例；最后给出3条可立即执行的下一步。
1261,财务,财务分析师,客服团队,复盘报告,成本,竞品压力,任务编号 P1261。请扮演财务分析师。围绕“财务场景061-竞品压力”中的预算、定价、现金流任务，面向客服团队，做一次反向推理找出隐藏风险。请用复盘报告输出，并从“成本”角度做重点判断。要求：包含衡量标准；保持中立客观；最后给出3条可立即执行的下一步。
1262,财务,财务分析师,家长,短视频脚本,可维护性,准备上线,任务编号 P1262。请扮演财务分析师。围绕“财务场景062-准备上线”中的预算、定价、现金流任务，面向家长，给出低成本试验方案。请用短视频脚本输出，并从“可维护性”角度做重点判断。要求：提供简短版本和完整版本；适合在一天内开始执行；最后给出3条可立即执行的下一步。
1263,财务,财务分析师,非技术读者,Markdown大纲,长期价值,高不确定性,任务编号 P1263。请扮演财务分析师。围绕“财务场景063-高不确定性”中的预算、定价、现金流任务，面向非技术读者，创建对比表并推荐选择。请用Markdown大纲输出，并从“长期价值”角度做重点判断。要求：适合在一天内开始执行；必要时提出澄清问题；最后给出3条可立即执行的下一步。
1264,财务,财务分析师,中小企业主,JSON结构,质量,远程协作,任务编号 P1264。请扮演财务分析师。围绕“财务场景064-远程协作”中的预算、定价、现金流任务，面向中小企业主，把长内容压缩成高密度摘要。请用JSON结构输出，并从“质量”角度做重点判断。要求：给出示例输入输出；输出可直接复制使用；最后给出3条可立即执行的下一步。
1265,财务,财务分析师,资深从业者,复盘报告,用户体验,个人项目,任务编号 P1265。请扮演财务分析师。围绕“财务场景065-个人项目”中的预算、定价、现金流任务，面向资深从业者，提出10个创新方向并排序。请用复盘报告输出，并从“用户体验”角度做重点判断。要求：语言简洁，不说空话；提供简短版本和完整版本；最后给出3条可立即执行的下一步。
1266,财务,财务分析师,自由职业者,短视频脚本,学习曲线,质量波动,任务编号 P1266。请扮演财务分析师。围绕“财务场景066-质量波动”中的预算、定价、现金流任务，面向自由职业者，设计30天训练计划。请用短视频脚本输出，并从“学习曲线”角度做重点判断。要求：兼顾成本和效果；按影响力排序；最后给出3条可立即执行的下一步。
1267,财务,财务分析师,设计团队,Markdown大纲,效率,用户流失,任务编号 P1267。请扮演财务分析师。围绕“财务场景067-用户流失”中的预算、定价、现金流任务，面向设计团队，构建决策树帮助判断下一步。请用Markdown大纲输出，并从“效率”角度做重点判断。要求：指出最容易忽略的细节；包含可执行下一步；最后给出3条可立即执行的下一步。
1268,财务,财务分析师,投资人,JSON结构,风险,内部培训,任务编号 P1268。请扮演财务分析师。围绕“财务场景068-内部培训”中的预算、定价、现金流任务，面向投资人，生成会议讨论提纲。请用JSON结构输出，并从“风险”角度做重点判断。要求：包含可执行下一步；包含衡量标准；最后给出3条可立即执行的下一步。
1269,财务,财务分析师,海外用户,复盘报告,增长,需要复盘,任务编号 P1269。请扮演财务分析师。围绕“财务场景069-需要复盘”中的预算、定价、现金流任务，面向海外用户，写一份面向管理层的简报。请用复盘报告输出，并从“增长”角度做重点判断。要求：输出可直接复制使用；标注假设和不确定性；最后给出3条可立即执行的下一步。
1270,财务,财务分析师,专家评审,短视频脚本,短期落地,时间紧迫,任务编号 P1270。请扮演财务分析师。围绕“财务场景070-时间紧迫”中的预算、定价、现金流任务，面向专家评审，写一份面向执行者的操作手册。请用短视频脚本输出，并从“短期落地”角度做重点判断。要求：保持中立客观；指出最容易忽略的细节；最后给出3条可立即执行的下一步。
1271,财务,财务分析师,大学生,Markdown大纲,成本,成熟企业,任务编号 P1271。请扮演财务分析师。围绕“财务场景071-成熟企业”中的预算、定价、现金流任务，面向大学生，建立评估打分表。请用Markdown大纲输出，并从“成本”角度做重点判断。要求：先给结论再解释；避免专业黑话；最后给出3条可立即执行的下一步。
1272,财务,财务分析师,管理层,JSON结构,可维护性,需要降本,任务编号 P1272。请扮演财务分析师。围绕“财务场景072-需要降本”中的预算、定价、现金流任务，面向管理层，提出自动化改造思路。请用JSON结构输出，并从“可维护性”角度做重点判断。要求：包含失败预案；用中文输出；最后给出3条可立即执行的下一步。
1273,财务,财务分析师,内容创作者,复盘报告,长期价值,流程混乱,任务编号 P1273。请扮演财务分析师。围绕“财务场景073-流程混乱”中的预算、定价、现金流任务，面向内容创作者，设计用户调研问题。请用复盘报告输出，并从“长期价值”角度做重点判断。要求：用中文输出；兼顾成本和效果；最后给出3条可立即执行的下一步。
1274,财务,财务分析师,销售团队,短视频脚本,质量,数据不足,任务编号 P1274。请扮演财务分析师。围绕“财务场景074-数据不足”中的预算、定价、现金流任务，面向销售团队，模拟用户反馈并归纳模式。请用短视频脚本输出，并从“质量”角度做重点判断。要求：标注假设和不确定性；避免虚构事实；最后给出3条可立即执行的下一步。
1275,财务,财务分析师,教师,Markdown大纲,用户体验,公开发布,任务编号 P1275。请扮演财务分析师。围绕“财务场景075-公开发布”中的预算、定价、现金流任务，面向教师，生成故障排查路径。请用Markdown大纲输出，并从“用户体验”角度做重点判断。要求：按影响力排序；包含失败预案；最后给出3条可立即执行的下一步。
1276,财务,财务分析师,本地用户,JSON结构,学习曲线,多方协作,任务编号 P1276。请扮演财务分析师。围绕“财务场景076-多方协作”中的预算、定价、现金流任务，面向本地用户，把目标拆成里程碑。请用JSON结构输出，并从“学习曲线”角度做重点判断。要求：必要时提出澄清问题；语言简洁，不说空话；最后给出3条可立即执行的下一步。
1277,财务,财务分析师,创始人,复盘报告,效率,预算有限,任务编号 P1277。请扮演财务分析师。围绕“财务场景077-预算有限”中的预算、定价、现金流任务，面向创始人，提出可复用命名规范。请用复盘报告输出，并从“效率”角度做重点判断。要求：给出至少一个反例；按难易度排序；最后给出3条可立即执行的下一步。
1278,财务,财务分析师,新手用户,短视频脚本,风险,初创团队,任务编号 P1278。请扮演财务分析师。围绕“财务场景078-初创团队”中的预算、定价、现金流任务，面向新手用户，创建风险登记册。请用短视频脚本输出，并从“风险”角度做重点判断。要求：按难易度排序；先给结论再解释；最后给出3条可立即执行的下一步。
1279,财务,财务分析师,一线执行团队,Markdown大纲,增长,需要扩张,任务编号 P1279。请扮演财务分析师。围绕“财务场景079-需要扩张”中的预算、定价、现金流任务，面向一线执行团队，制定一份可执行方案。请用Markdown大纲输出，并从“增长”角度做重点判断。要求：避免虚构事实；给出示例输入输出；最后给出3条可立即执行的下一步。
1280,财务,财务分析师,开发团队,JSON结构,短期落地,新市场验证,任务编号 P1280。请扮演财务分析师。围绕“财务场景080-新市场验证”中的预算、定价、现金流任务，面向开发团队，列出关键问题并给出优先级。请用JSON结构输出，并从“短期落地”角度做重点判断。要求：避免专业黑话；给出至少一个反例；最后给出3条可立即执行的下一步。
1281,财务,财务分析师,客服团队,复盘报告,成本,竞品压力,任务编号 P1281。请扮演财务分析师。围绕“财务场景081-竞品压力”中的预算、定价、现金流任务，面向客服团队，生成三种风格完全不同的版本。请用复盘报告输出，并从“成本”角度做重点判断。要求：包含衡量标准；保持中立客观；最后给出3条可立即执行的下一步。
1282,财务,财务分析师,家长,短视频脚本,可维护性,准备上线,任务编号 P1282。请扮演财务分析师。围绕“财务场景082-准备上线”中的预算、定价、现金流任务，面向家长，把复杂内容改写成新手也能懂的说明。请用短视频脚本输出，并从“可维护性”角度做重点判断。要求：提供简短版本和完整版本；适合在一天内开始执行；最后给出3条可立即执行的下一步。
1283,财务,财务分析师,非技术读者,Markdown大纲,长期价值,高不确定性,任务编号 P1283。请扮演财务分析师。围绕“财务场景083-高不确定性”中的预算、定价、现金流任务，面向非技术读者，设计一个从零到一的工作流。请用Markdown大纲输出，并从“长期价值”角度做重点判断。要求：适合在一天内开始执行；必要时提出澄清问题；最后给出3条可立即执行的下一步。
1284,财务,财务分析师,中小企业主,JSON结构,质量,远程协作,任务编号 P1284。请扮演财务分析师。围绕“财务场景084-远程协作”中的预算、定价、现金流任务，面向中小企业主，创建检查清单并标注常见坑。请用JSON结构输出，并从“质量”角度做重点判断。要求：给出示例输入输出；输出可直接复制使用；最后给出3条可立即执行的下一步。
1285,财务,财务分析师,资深从业者,复盘报告,用户体验,个人项目,任务编号 P1285。请扮演财务分析师。围绕“财务场景085-个人项目”中的预算、定价、现金流任务，面向资深从业者，模拟专家评审并指出改进点。请用复盘报告输出，并从“用户体验”角度做重点判断。要求：语言简洁，不说空话；提供简短版本和完整版本；最后给出3条可立即执行的下一步。
1286,财务,财务分析师,自由职业者,短视频脚本,学习曲线,质量波动,任务编号 P1286。请扮演财务分析师。围绕“财务场景086-质量波动”中的预算、定价、现金流任务，面向自由职业者，根据目标用户重写表达。请用短视频脚本输出，并从“学习曲线”角度做重点判断。要求：兼顾成本和效果；按影响力排序；最后给出3条可立即执行的下一步。
1287,财务,财务分析师,设计团队,Markdown大纲,效率,用户流失,任务编号 P1287。请扮演财务分析师。围绕“财务场景087-用户流失”中的预算、定价、现金流任务，面向设计团队，提炼核心洞察并给出行动建议。请用Markdown大纲输出，并从“效率”角度做重点判断。要求：指出最容易忽略的细节；包含可执行下一步；最后给出3条可立即执行的下一步。
1288,财务,财务分析师,投资人,JSON结构,风险,内部培训,任务编号 P1288。请扮演财务分析师。围绕“财务场景088-内部培训”中的预算、定价、现金流任务，面向投资人，设计一套可量化指标。请用JSON结构输出，并从“风险”角度做重点判断。要求：包含可执行下一步；包含衡量标准；最后给出3条可立即执行的下一步。
1289,财务,财务分析师,海外用户,复盘报告,增长,需要复盘,任务编号 P1289。请扮演财务分析师。围绕“财务场景089-需要复盘”中的预算、定价、现金流任务，面向海外用户，把零散想法整理成结构化大纲。请用复盘报告输出，并从“增长”角度做重点判断。要求：输出可直接复制使用；标注假设和不确定性；最后给出3条可立即执行的下一步。
1290,财务,财务分析师,专家评审,短视频脚本,短期落地,时间紧迫,任务编号 P1290。请扮演财务分析师。围绕“财务场景090-时间紧迫”中的预算、定价、现金流任务，面向专家评审，生成可直接使用的模板。请用短视频脚本输出，并从“短期落地”角度做重点判断。要求：保持中立客观；指出最容易忽略的细节；最后给出3条可立即执行的下一步。
1291,财务,财务分析师,大学生,Markdown大纲,成本,成熟企业,任务编号 P1291。请扮演财务分析师。围绕“财务场景091-成熟企业”中的预算、定价、现金流任务，面向大学生，做一次反向推理找出隐藏风险。请用Markdown大纲输出，并从“成本”角度做重点判断。要求：先给结论再解释；避免专业黑话；最后给出3条可立即执行的下一步。
1292,财务,财务分析师,管理层,JSON结构,可维护性,需要降本,任务编号 P1292。请扮演财务分析师。围绕“财务场景092-需要降本”中的预算、定价、现金流任务，面向管理层，给出低成本试验方案。请用JSON结构输出，并从“可维护性”角度做重点判断。要求：包含失败预案；用中文输出；最后给出3条可立即执行的下一步。
1293,财务,财务分析师,内容创作者,复盘报告,长期价值,流程混乱,任务编号 P1293。请扮演财务分析师。围绕“财务场景093-流程混乱”中的预算、定价、现金流任务，面向内容创作者，创建对比表并推荐选择。请用复盘报告输出，并从“长期价值”角度做重点判断。要求：用中文输出；兼顾成本和效果；最后给出3条可立即执行的下一步。
1294,财务,财务分析师,销售团队,短视频脚本,质量,数据不足,任务编号 P1294。请扮演财务分析师。围绕“财务场景094-数据不足”中的预算、定价、现金流任务，面向销售团队，把长内容压缩成高密度摘要。请用短视频脚本输出，并从“质量”角度做重点判断。要求：标注假设和不确定性；避免虚构事实；最后给出3条可立即执行的下一步。
1295,财务,财务分析师,教师,Markdown大纲,用户体验,公开发布,任务编号 P1295。请扮演财务分析师。围绕“财务场景095-公开发布”中的预算、定价、现金流任务，面向教师，提出10个创新方向并排序。请用Markdown大纲输出，并从“用户体验”角度做重点判断。要求：按影响力排序；包含失败预案；最后给出3条可立即执行的下一步。
1296,财务,财务分析师,本地用户,JSON结构,学习曲线,多方协作,任务编号 P1296。请扮演财务分析师。围绕“财务场景096-多方协作”中的预算、定价、现金流任务，面向本地用户，设计30天训练计划。请用JSON结构输出，并从“学习曲线”角度做重点判断。要求：必要时提出澄清问题；语言简洁，不说空话；最后给出3条可立即执行的下一步。
1297,财务,财务分析师,创始人,复盘报告,效率,预算有限,任务编号 P1297。请扮演财务分析师。围绕“财务场景097-预算有限”中的预算、定价、现金流任务，面向创始人，构建决策树帮助判断下一步。请用复盘报告输出，并从“效率”角度做重点判断。要求：给出至少一个反例；按难易度排序；最后给出3条可立即执行的下一步。
1298,财务,财务分析师,新手用户,短视频脚本,风险,初创团队,任务编号 P1298。请扮演财务分析师。围绕“财务场景098-初创团队”中的预算、定价、现金流任务，面向新手用户，生成会议讨论提纲。请用短视频脚本输出，并从“风险”角度做重点判断。要求：按难易度排序；先给结论再解释；最后给出3条可立即执行的下一步。
1299,财务,财务分析师,一线执行团队,Markdown大纲,增长,需要扩张,任务编号 P1299。请扮演财务分析师。围绕“财务场景099-需要扩张”中的预算、定价、现金流任务，面向一线执行团队，写一份面向管理层的简报。请用Markdown大纲输出，并从“增长”角度做重点判断。要求：避免虚构事实；给出示例输入输出；最后给出3条可立即执行的下一步。
1300,财务,财务分析师,开发团队,JSON结构,短期落地,新市场验证,任务编号 P1300。请扮演财务分析师。围绕“财务场景100-新市场验证”中的预算、定价、现金流任务，面向开发团队，写一份面向执行者的操作手册。请用JSON结构输出，并从“短期落地”角度做重点判断。要求：避免专业黑话；给出至少一个反例；最后给出3条可立即执行的下一步。
1301,人力,HRBP,投资人,实验计划,风险,数据不足,任务编号 P1301。请扮演HRBP。围绕“人力场景001-数据不足”中的招聘、绩效、组织任务，面向投资人，给出低成本试验方案。请用实验计划输出，并从“风险”角度做重点判断。要求：给出示例输入输出；用中文输出；最后给出3条可立即执行的下一步。
1302,人力,HRBP,海外用户,检查清单,增长,公开发布,任务编号 P1302。请扮演HRBP。围绕“人力场景002-公开发布”中的招聘、绩效、组织任务，面向海外用户，创建对比表并推荐选择。请用检查清单输出，并从“增长”角度做重点判断。要求：语言简洁，不说空话；兼顾成本和效果；最后给出3条可立即执行的下一步。
1303,人力,HRBP,专家评审,SOP步骤,短期落地,多方协作,任务编号 P1303。请扮演HRBP。围绕“人力场景003-多方协作”中的招聘、绩效、组织任务，面向专家评审，把长内容压缩成高密度摘要。请用SOP步骤输出，并从“短期落地”角度做重点判断。要求：兼顾成本和效果；避免虚构事实；最后给出3条可立即执行的下一步。
1304,人力,HRBP,大学生,看板任务,成本,预算有限,任务编号 P1304。请扮演HRBP。围绕“人力场景004-预算有限”中的招聘、绩效、组织任务，面向大学生，提出10个创新方向并排序。请用看板任务输出，并从“成本”角度做重点判断。要求：指出最容易忽略的细节；包含失败预案；最后给出3条可立即执行的下一步。
1305,人力,HRBP,管理层,实验计划,可维护性,初创团队,任务编号 P1305。请扮演HRBP。围绕“人力场景005-初创团队”中的招聘、绩效、组织任务，面向管理层，设计30天训练计划。请用实验计划输出，并从“可维护性”角度做重点判断。要求：包含可执行下一步；语言简洁，不说空话；最后给出3条可立即执行的下一步。
1306,人力,HRBP,内容创作者,检查清单,长期价值,需要扩张,任务编号 P1306。请扮演HRBP。围绕“人力场景006-需要扩张”中的招聘、绩效、组织任务，面向内容创作者，构建决策树帮助判断下一步。请用检查清单输出，并从“长期价值”角度做重点判断。要求：输出可直接复制使用；按难易度排序；最后给出3条可立即执行的下一步。
1307,人力,HRBP,销售团队,SOP步骤,质量,新市场验证,任务编号 P1307。请扮演HRBP。围绕“人力场景007-新市场验证”中的招聘、绩效、组织任务，面向销售团队，生成会议讨论提纲。请用SOP步骤输出，并从“质量”角度做重点判断。要求：保持中立客观；先给结论再解释；最后给出3条可立即执行的下一步。
1308,人力,HRBP,教师,看板任务,用户体验,竞品压力,任务编号 P1308。请扮演HRBP。围绕“人力场景008-竞品压力”中的招聘、绩效、组织任务，面向教师，写一份面向管理层的简报。请用看板任务输出，并从“用户体验”角度做重点判断。要求：先给结论再解释；给出示例输入输出；最后给出3条可立即执行的下一步。
1309,人力,HRBP,本地用户,实验计划,学习曲线,准备上线,任务编号 P1309。请扮演HRBP。围绕“人力场景009-准备上线”中的招聘、绩效、组织任务，面向本地用户，写一份面向执行者的操作手册。请用实验计划输出，并从“学习曲线”角度做重点判断。要求：包含失败预案；给出至少一个反例；最后给出3条可立即执行的下一步。
1310,人力,HRBP,创始人,检查清单,效率,高不确定性,任务编号 P1310。请扮演HRBP。围绕“人力场景010-高不确定性”中的招聘、绩效、组织任务，面向创始人，建立评估打分表。请用检查清单输出，并从“效率”角度做重点判断。要求：用中文输出；保持中立客观；最后给出3条可立即执行的下一步。
1311,人力,HRBP,新手用户,SOP步骤,风险,远程协作,任务编号 P1311。请扮演HRBP。围绕“人力场景011-远程协作”中的招聘、绩效、组织任务，面向新手用户，提出自动化改造思路。请用SOP步骤输出，并从“风险”角度做重点判断。要求：标注假设和不确定性；适合在一天内开始执行；最后给出3条可立即执行的下一步。
1312,人力,HRBP,一线执行团队,看板任务,增长,个人项目,任务编号 P1312。请扮演HRBP。围绕“人力场景012-个人项目”中的招聘、绩效、组织任务，面向一线执行团队，设计用户调研问题。请用看板任务输出，并从“增长”角度做重点判断。要求：按影响力排序；必要时提出澄清问题；最后给出3条可立即执行的下一步。
1313,人力,HRBP,开发团队,实验计划,短期落地,质量波动,任务编号 P1313。请扮演HRBP。围绕“人力场景013-质量波动”中的招聘、绩效、组织任务，面向开发团队，模拟用户反馈并归纳模式。请用实验计划输出，并从“短期落地”角度做重点判断。要求：必要时提出澄清问题；输出可直接复制使用；最后给出3条可立即执行的下一步。
1314,人力,HRBP,客服团队,检查清单,成本,用户流失,任务编号 P1314。请扮演HRBP。围绕“人力场景014-用户流失”中的招聘、绩效、组织任务，面向客服团队，生成故障排查路径。请用检查清单输出，并从“成本”角度做重点判断。要求：给出至少一个反例；提供简短版本和完整版本；最后给出3条可立即执行的下一步。
1315,人力,HRBP,家长,SOP步骤,可维护性,内部培训,任务编号 P1315。请扮演HRBP。围绕“人力场景015-内部培训”中的招聘、绩效、组织任务，面向家长，把目标拆成里程碑。请用SOP步骤输出，并从“可维护性”角度做重点判断。要求：按难易度排序；按影响力排序；最后给出3条可立即执行的下一步。
1316,人力,HRBP,非技术读者,看板任务,长期价值,需要复盘,任务编号 P1316。请扮演HRBP。围绕“人力场景016-需要复盘”中的招聘、绩效、组织任务，面向非技术读者，提出可复用命名规范。请用看板任务输出，并从“长期价值”角度做重点判断。要求：避免虚构事实；包含可执行下一步；最后给出3条可立即执行的下一步。
1317,人力,HRBP,中小企业主,实验计划,质量,时间紧迫,任务编号 P1317。请扮演HRBP。围绕“人力场景017-时间紧迫”中的招聘、绩效、组织任务，面向中小企业主，创建风险登记册。请用实验计划输出，并从“质量”角度做重点判断。要求：避免专业黑话；包含衡量标准；最后给出3条可立即执行的下一步。
1318,人力,HRBP,资深从业者,检查清单,用户体验,成熟企业,任务编号 P1318。请扮演HRBP。围绕“人力场景018-成熟企业”中的招聘、绩效、组织任务，面向资深从业者，制定一份可执行方案。请用检查清单输出，并从“用户体验”角度做重点判断。要求：包含衡量标准；标注假设和不确定性；最后给出3条可立即执行的下一步。
1319,人力,HRBP,自由职业者,SOP步骤,学习曲线,需要降本,任务编号 P1319。请扮演HRBP。围绕“人力场景019-需要降本”中的招聘、绩效、组织任务，面向自由职业者，列出关键问题并给出优先级。请用SOP步骤输出，并从“学习曲线”角度做重点判断。要求：提供简短版本和完整版本；指出最容易忽略的细节；最后给出3条可立即执行的下一步。
1320,人力,HRBP,设计团队,看板任务,效率,流程混乱,任务编号 P1320。请扮演HRBP。围绕“人力场景020-流程混乱”中的招聘、绩效、组织任务，面向设计团队，生成三种风格完全不同的版本。请用看板任务输出，并从“效率”角度做重点判断。要求：适合在一天内开始执行；避免专业黑话；最后给出3条可立即执行的下一步。
1321,人力,HRBP,投资人,实验计划,风险,数据不足,任务编号 P1321。请扮演HRBP。围绕“人力场景021-数据不足”中的招聘、绩效、组织任务，面向投资人，把复杂内容改写成新手也能懂的说明。请用实验计划输出，并从“风险”角度做重点判断。要求：给出示例输入输出；用中文输出；最后给出3条可立即执行的下一步。
1322,人力,HRBP,海外用户,检查清单,增长,公开发布,任务编号 P1322。请扮演HRBP。围绕“人力场景022-公开发布”中的招聘、绩效、组织任务，面向海外用户，设计一个从零到一的工作流。请用检查清单输出，并从“增长”角度做重点判断。要求：语言简洁，不说空话；兼顾成本和效果；最后给出3条可立即执行的下一步。
